x y
100 776.94
110 1294.8
120 2086.14
130 3169.75
140 3680.15
150 4634.71
160 5685.88
170 7740.69
180 8214.03
190 10146.04
200 11584.22
210 13199.21
220 14867.9
230 16660.81
240 18421.49
250 20406.15
260 22487.47
270 24751.48
280 27141.74
290 30475.89
300 31587.05
310 35126.64
320 36904.11
330 39566.15
340 42868.1
350 45858.22
360 49314.76
370 51791.07
380 54769.59
390 58258.15
400 62775.55
410 65659.51
420 68712.83
430 72844.65
440 77125.68
450 80446.75
460 81859.08
470 87184.96
480 90432.24
490 94648.47
500 99860.27
510 103316.57
520 108233.07
530 113098.77
540 116356.96
550 123052.84
560 126112
570 132480.16
580 136049.53
590 142263.31
600 146578.49
610 152844.77
620 158625.65
630 163522.29
640 172227.62
650 174183.83
660 181279.89
670 187734.29
680 191217.55
690 199227.78
700 206071.57
710 224577.96
720 227158.66
730 245488.11
740 258749.9
750 266045.07
760 245644.06
770 250837.93
780 258283.12
790 265143.24
800 313242.12
810 298848.47
820 290570.42
830 294117.77
840 301284.76
850 308028.17
860 314546.44
870 324941.93
880 331831.7
890 338528.77
900 348151.15
910 354215.09
920 364007.69
930 371951.16
940 379474.87
950 388512.05
960 397696.83
970 404487.21
980 414059.66
990 422836.75
1000 435086.39
1010 440756.21
1020 450264.76
1030 460995.54
1040 470006.26
1050 502890.11
1060 494567.72
1070 496542.83
1080 506329.48
1090 516504.15
1100 526831.69
