y x
776.94 100
1294.8 110
2086.14 120
3169.75 130
3680.15 140
4634.71 150
5685.88 160
7740.69 170
8214.03 180
10146.04 190
11584.22 200
13199.21 210
14867.9 220
16660.81 230
18421.49 240
20406.15 250
22487.47 260
24751.48 270
27141.74 280
30475.89 290
31587.05 300
35126.64 310
36904.11 320
39566.15 330
42868.1 340
45858.22 350
49314.76 360
51791.07 370
54769.59 380
58258.15 390
62775.55 400
65659.51 410
68712.83 420
72844.65 430
77125.68 440
80446.75 450
81859.08 460
87184.96 470
90432.24 480
94648.47 490
99860.27 500
103316.57 510
108233.07 520
113098.77 530
116356.96 540
123052.84 550
126112 560
132480.16 570
136049.53 580
142263.31 590
146578.49 600
152844.77 610
158625.65 620
163522.29 630
172227.62 640
174183.83 650
181279.89 660
187734.29 670
191217.55 680
199227.78 690
206071.57 700
224577.96 710
227158.66 720
245488.11 730
258749.9 740
266045.07 750
245644.06 760
250837.93 770
258283.12 780
265143.24 790
313242.12 800
298848.47 810
290570.42 820
294117.77 830
301284.76 840
308028.17 850
314546.44 860
324941.93 870
331831.7 880
338528.77 890
348151.15 900
354215.09 910
364007.69 920
371951.16 930
379474.87 940
388512.05 950
397696.83 960
404487.21 970
414059.66 980
422836.75 990
435086.39 1000
440756.21 1010
450264.76 1020
460995.54 1030
470006.26 1040
502890.11 1050
494567.72 1060
496542.83 1070
506329.48 1080
516504.15 1090
526831.69 1100
